# RIESGO_LAVADO - Diagnostico residual Unicode RIE_DESCRIPCION
# Fecha: 2026-09-24
# Fuente: salida read-only Oracle 11g sobre RL_MR_RIESGOS.RIE_DESCRIPCION
# No contiene DML. No es una fuente semantica; es evidencia de tokens corruptos observados.
TOTAL_TOKEN_OCCURRENCES=385
UNIQUE_BAD_TOKENS=180
AFFECTED_RISK_CODES=52

[OBSERVATIONS]
RCUMP-COMPRASCONTR-44 | Pol?ticamente
RCUMP-COMPRAS-35 | an?lisis
RCUMP-COMPRAS-35 | Presi?n
RCUMP-COMPRAS-35 | r?pidamente
RCUMP-COMPRAS-35 | garant?as
RCUMP-COMPRAS-35 | p?lizas
RCUMP-COMPRAS-35 | Colusi?n
RCUMP-COMPRAS-35 | pr?cticas
RCUMP-COMPRAS-35 | P?rdida
RCUMP-COMPRAS-35 | p?blicos
RCUMP-COMPRAS-35 | corrupci?n
RCUMP-COMPRAS-35 | Afectaci?n
RCUMP-COMPRAS-36 | adquisici?n
RCUMP-COMPRAS-36 | recepci?n
RCUMP-COMPRAS-36 | manipulaci?n
RCUMP-COMPRAS-36 | recepci?n
RCUMP-COMPRAS-36 | materializaci?n
RCUMP-COMPRAS-36 | corrupci?n
RCUMP-COMPRAS-36 | integraci?n
RCUMP-COMPRAS-36 | peri?dicas
RCUMP-COMPRAS-36 | segregaci?n
RCUMP-COMPRAS-36 | Manipulaci?n
RCUMP-COMPRAS-36 | Presi?n
RCUMP-COMPRAS-36 | P?rdida
RCUMP-COMPRAS-36 | colusi?n
RCUMP-COMPRAS-37 | realizaci?n
RCUMP-COMPRAS-37 | concesi?n
RCUMP-COMPRAS-37 | asesor?as
RCUMP-COMPRAS-38 | p?blica
RCUMP-COMPRAS-38 | comit?s
RCUMP-COMPRAS-40 | ?reas
RCUMP-COMPRAS-40 | dise?en
RCUMP-COMPRAS-40 | adquisici?n
RCUMP-COMPRAS-40 | m?dicos
RCUMP-COMPRAS-40 | estandarizaci?n
RCUMP-COMPRAS-40 | elaboraci?n
RCUMP-COMPRAS-40 | D?bil
RCUMP-COMPRAS-40 | inter?s
RCUMP-COMPRAS-40 | pol?ticas
RCUMP-COMPRAS-40 | planificaci?n
RCUMP-COMPRAS-40 | P?rdida
RCUMP-COMPRAS-40 | materializaci?n
RCUMP-COMPRAS-40 | corrupci?n
RCUMP-COMPRAS-41 | Ampliaci?n
RCUMP-COMPRAS-41 | pr?rrogas
RCUMP-COMPRAS-42 | p?blica
RCUMP-COMPRAS-43 | actualizaci?n
RCUMP-COMPRAS-43 | corrupci?n
RCUMP-COMPRAS-43 | financiaci?n
RCUMP-COMPRAS-43 | inter?s
RCUMP-COMPRAS-43 | manipulaci?n
RCUMP-COMPRAS-43 | tecnol?gicas
RCUMP-COMPRAS-43 | facturaci?n
RCUMP-COMPRAS-43 | Interrupci?n
RCUMP-COMPRAS-43 | cr?ticos
RCUMP-CONTROLPATRO-45 | omisi?n
RCUMP-CONTROLPATRO-46 | m?ltiples
RCUMP-CONTROLPATRO-46 | anal?tica
RCUMP-CONTROLPATRO-47 | actualizaci?n
RCUMP-CONTROLPATRO-47 | peri?dica
RCUMP-CONTROLPATRO-47 | Intenci?n
RCUMP-CONTROLPATRO-47 | econ?mica
RCUMP-CONTROLPATRO-47 | Comunicaci?n
RCUMP-CONTROLPATRO-47 | actualizaci?n
RCUMP-CONTROLPATRO-47 | Percepci?n
RCUMP-CONTROLPATRO-48 | actualizaci?n
RCUMP-CONTROLPATRO-48 | peri?dico
RCUMP-CONTROLPATRO-48 | tecnol?gicas
RCUMP-CONTROLPATRO-48 | obligaci?n
ROP-CUMP-52 | secci?n
ROP-CUMP-52 | comunicaci?n
ROP-CUMP-54 | Declaraci?n
ROP-CUMP-54 | implementaci?n
ROP-CUMP-54 | Acci?n
ROP-CUMP-55 | Metodolog?a
ROP-CUMP-55 | Calificaci?n
ROP-CUMP-56 | secci?n
ROP-CUMP-56 | depuraci?n
ROP-CUMP-56 | actualizaci?n
ROP-CUMP-57 | secci?n
ROP-CUMP-57 | comunicaci?n
ROP-CUMP-57 | ?reas
ROP-CUMP-58 | Secci?n
ROP-CUMP-59 | sanci?n
ROP-CUMP-59 | comunicaci?n
ROTR-AFIL-1 | jur?dicas
ROTR-AFIL-1 | admisi?n
ROTR-AFIL-1 | biom?trica
ROTR-AFIL-1 | colusi?n
ROTR-AFIL-1 | Afectaci?n
ROTR-AFIL-2 | m?dicos
ROTR-AFIL-2 | condici?n
ROTR-AFIL-2 | afiliaci?n
ROTR-AFIL-2 | integraci?n
ROTR-AFIL-2 | suplantaci?n
ROTR-AFIL-2 | Parametrizaci?n
ROTR-ALMACENBIENE-23 | p?rdida
ROTR-ALMACENBIENE-23 | m?dicos
ROTR-ALMACENBIENE-23 | distribuci?n
ROTR-ALMACENBIENE-23 | segregaci?n
ROTR-ALMACENBIENE-23 | c?clicos
ROTR-ALMACENBIENE-23 | auditor?as
ROTR-ALMACENBIENE-23 | peri?dicas
ROTR-ALMACENBIENE-23 | d?bil
ROTR-ALMACENBIENE-23 | ?tica
ROTR-ALMACENBIENE-23 | Infiltraci?n
ROTR-ALMACENBIENE-23 | comercializaci?n
ROTR-ALMACENBIENE-23 | f?sica
ROTR-ALMACENBIENE-23 | sustracci?n
ROTR-ALMACENBIENE-23 | cr?ticos
ROTR-ALMACENBIENE-23 | atenci?n
ROTR-ALMACENBIENE-23 | m?dica
ROTR-ALMACENBIENE-23 | P?rdida
ROTR-ALMACENBIENE-23 | p?blicos
ROTR-ALMACENBIENE-23 | Afectaci?n
ROTR-COMPRASGAYF-21 | ?tica
ROTR-COMPRASGAYF-21 | inter?s
ROTR-COMPRASGAYF-21 | segregaci?n
ROTR-COMPRASGAYF-21 | autom?ticas
ROTR-COMPRASGAYF-21 | Presi?n
ROTR-COMPRASGAYF-21 | m?dicos
ROTR-COMPRASGAYF-21 | colusi?n
ROTR-COMPRASGAYF-21 | P?rdida
ROTR-COMPRASGAYF-21 | Afectaci?n
ROTR-COMPRASTESOR-20 | colusi?n
ROTR-COMPRASTESOR-20 | segregaci?n
ROTR-COMPRASTESOR-20 | Presi?n
ROTR-COMPRASTESOR-20 | Colusi?n
ROTR-COMPRASTESOR-20 | Manipulaci?n
ROTR-COMPRASTESOR-20 | Pr?cticas
ROTR-COMPRAS-18 | m?dicos
ROTR-COMPRAS-18 | recepci?n
ROTR-COMPRAS-18 | colusi?n
ROTR-COMPRAS-18 | segregaci?n
ROTR-COMPRAS-18 | f?sicos
ROTR-COMPRAS-18 | recepci?n
ROTR-COMPRAS-18 | Colusi?n
ROTR-COMPRAS-18 | d?bil
ROTR-COMPRAS-18 | Presi?n
ROTR-COMPRAS-7 | f?sicamente
ROTR-COMPRAS-7 | dispensaci?n
ROTR-COMPRAS-7 | conciliaci?n
ROTR-COMPRAS-7 | auditor?a
ROTR-COMPRAS-7 | conciliaci?n
ROTR-COMPRAS-7 | facturaci?n
ROTR-COMPRAS-7 | dispensaci?n
ROTR-COMPRAS-7 | c?digo
ROTR-COMPRAS-7 | Colusi?n
ROTR-IVM-13 | n?mero
ROTR-IVM-13 | per?odos
ROTR-IVM-13 | cotizaci?n
ROTR-IVM-13 | correcci?n
ROTR-IVM-13 | Colusi?n
ROTR-IVM-13 | distorsi?n
ROTR-PATRONALCOMP-17 | corrupci?n
ROTR-PATRONALCOMP-17 | simulaci?n
ROTR-PATRONALCOMP-17 | revisi?n
ROTR-PATRONALCOMP-17 | Colusi?n
ROTR-PATRONALCOMP-17 | p?blicos
ROTR-PATRONALCOMP-17 | P?rdida
ROTR-PATRONALCOMP-17 | corrupci?n
ROTR-PATRONALCOMP-17 | se?alamientos
ROTR-PATRONALCOMP-17 | medi?ticos
ROTR-PATRONALCOMP-17 | P?rdida
ROTR-PATRONALCOMP-17 | p?blica
ROTR-PATRONAL-12 | econ?mica
ROTR-PATRONAL-12 | simulaci?n
ROTR-PATRONAL-12 | econ?mica
ROTR-PATRONAL-12 | inspecci?n
ROTR-PATRONAL-12 | Colusi?n
ROTR-PATRONAL-12 | Afectaci?n
ROTR-PENS-10 | suplantaci?n
ROTR-PENS-10 | interpretaci?n
ROTR-PENS-10 | Aceptaci?n
ROTR-PENS-10 | autenticaci?n
ROTR-PENS-10 | Colusi?n
ROTR-PENS-10 | afectaci?n
ROTR-PENS-10 | da?o
ROTR-PENS-3 | revisi?n
ROTR-PENS-3 | colusi?n
ROTR-PENS-3 | falsificaci?n
ROTR-PENS-4 | contin?e
ROTR-PENS-4 | despu?s
ROTR-PENS-4 | actualizaci?n
ROTR-PENS-4 | peri?dica
ROTR-RRHHTESORERI-19 | m?ltiples
ROTR-RRHHTESORERI-19 | creaci?n
ROTR-RRHHTESORERI-19 | manipulaci?n
ROTR-RRHHTESORERI-19 | colusi?n
ROTR-RRHHTESORERI-19 | actualizaci?n
ROTR-RRHHTESORERI-19 | segregaci?n
ROTR-RRHHTESORERI-19 | n?mina
ROTR-RRHHTESORERI-19 | Colusi?n
ROTR-RRHHTESORERI-19 | Tesorer?a
ROTR-RRHH-14 | n?mina
ROTR-RRHH-14 | segregaci?n
ROTR-RRHH-14 | creaci?n
ROTR-RRHH-14 | modificaci?n
ROTR-RRHH-14 | n?mina
ROTR-RRHH-14 | ?tica
ROTR-RRHH-14 | d?bil
ROTR-RRHH-15 | segregaci?n
ROTR-RRHH-15 | auditor?a
ROTR-RRHH-15 | peri?dica
ROTR-RRHH-15 | da?o
ROTR-RRHH-16 | podr?a
ROTR-RRHH-16 | corrupci?n
ROTR-RRHH-16 | sobrevaloraci?n
ROTR-RRHH-16 | utilizaci?n
ROTR-RRHH-16 | il?cito
ROTR-RRHH-16 | Concentraci?n
ROTR-RRHH-16 | comit?
ROTR-RRHH-16 | inter?s
ROTR-RRHH-8 | espec?fico
ROTR-RRHH-8 | modificaci?n
ROTR-RRHH-8 | filtraci?n
ROTR-RRHH-8 | colusi?n
ROTR-RRHH-8 | inter?s
ROTR-RRHH-8 | segregaci?n
ROTR-RRHH-8 | D?bil
ROTR-RRHH-8 | Intervenci?n
ROTR-RRHH-8 | corrupci?n
ROTR-RRHH-8 | interrupci?n
ROTR-RRHH-8 | cr?ticos
ROTR-RRHH-8 | tecnolog?a
ROTR-SUBS-5 | investigaci?n
ROTR-SUBS-5 | revisi?n
ROTR-SUBS-5 | investigaci?n
ROTR-SUBS-5 | Colusi?n
ROTR-SUBS-5 | Falsificaci?n
ROTR-SUBS-5 | Presi?n
ROTR-SUBS-5 | econ?mica
ROTR-SUBS-6 | pr?rrogas
ROTR-SUBS-6 | m?dicas
ROTR-SUBS-6 | cl?nico
ROTR-SUBS-6 | t?cnicos
ROTR-SUBS-6 | auditor?a
ROTR-SUBS-6 | m?dica
ROTR-SUBS-6 | auditor?a
ROTR-SUBS-6 | m?dica
ROTR-SUBS-6 | gu?as
ROTR-SUBS-6 | cl?nicas
ROTR-SUBS-6 | Colusi?n
ROTR-TESO-9 | efect?en
ROTR-TESO-9 | actualizaci?n
ROTR-TESO-9 | confirmaci?n
ROTR-TESO-9 | actualizaci?n
ROTR-TESO-9 | ingenier?a
ROTR-TESO-9 | segregaci?n
ROTR-TESO-9 | leg?timo
ROTR-USIGTICTRANS-22 | ?tica
ROTR-USIGTICTRANS-22 | ?tica
ROTR-USIGTICTRANS-22 | inter?s
ROTR-USIGTICTRANS-22 | econ?micos
ROTR-USIGTICTRANS-22 | Pol?ticas
ROTR-USIGTICTRANS-22 | d?biles
ROTR-USIGTICTRANS-22 | clasificaci?n
ROTR-USIGTICTRANS-22 | Presi?n
ROTR-USIGTICTRANS-22 | P?rdida
ROTR-USIGTICTRANS-22 | violaci?n

[UNIQUE_BAD_TOKENS]
?reas | occurrences=4
?tica | occurrences=6
Acci?n | occurrences=1
Aceptaci?n | occurrences=1
actualizaci?n | occurrences=11
admisi?n | occurrences=1
adquisici?n | occurrences=2
Afectaci?n | occurrences=8
afectaci?n | occurrences=1
afiliaci?n | occurrences=1
Ampliaci?n | occurrences=1
an?lisis | occurrences=3
anal?tica | occurrences=1
anticorrupci?n | occurrences=1
aplicaci?n | occurrences=1
apropiaci?n | occurrences=1
asesor?as | occurrences=1
atenci?n | occurrences=1
auditor?a | occurrences=6
auditor?as | occurrences=1
autenticaci?n | occurrences=1
autom?ticas | occurrences=1
biom?trica | occurrences=1
c?clicos | occurrences=1
c?digo | occurrences=1
c?nyuge | occurrences=1
Calificaci?n | occurrences=1
canalizaci?n | occurrences=1
cancelaci?n | occurrences=1
ciudadan?a | occurrences=1
cl?nicas | occurrences=1
cl?nico | occurrences=1
clasificaci?n | occurrences=1
Colusi?n | occurrences=13
colusi?n | occurrences=8
comercializaci?n | occurrences=1
comit? | occurrences=1
comit?s | occurrences=5
Comunicaci?n | occurrences=1
comunicaci?n | occurrences=3
Concentraci?n | occurrences=2
concesi?n | occurrences=1
conciliaci?n | occurrences=2
condici?n | occurrences=1
confirmaci?n | occurrences=1
conformaci?n | occurrences=2
contin?e | occurrences=1
Contrataci?n | occurrences=1
correcci?n | occurrences=1
corrupci?n | occurrences=15
cotizaci?n | occurrences=1
cr?tica | occurrences=1
cr?ticas | occurrences=1
cr?ticos | occurrences=3
creaci?n | occurrences=2
D?bil | occurrences=2
d?bil | occurrences=3
d?biles | occurrences=1
d?divas | occurrences=1
da?o | occurrences=3
decisi?n | occurrences=1
Declaraci?n | occurrences=1
depuraci?n | occurrences=1
designaci?n | occurrences=1
despu?s | occurrences=1
digitalizaci?n | occurrences=1
dise?en | occurrences=1
dise?o | occurrences=1
dispensaci?n | occurrences=2
distorsi?n | occurrences=2
distribuci?n | occurrences=1
econ?mica | occurrences=5
econ?micos | occurrences=1
efect?en | occurrences=1
elaboraci?n | occurrences=2
espec?fico | occurrences=1
espec?ficos | occurrences=1
estandarizaci?n | occurrences=1
f?sica | occurrences=1
f?sicamente | occurrences=1
f?sicos | occurrences=1
facturaci?n | occurrences=2
Falsificaci?n | occurrences=1
falsificaci?n | occurrences=1
filtraci?n | occurrences=1
financiaci?n | occurrences=1
formalizaci?n | occurrences=1
garant?a | occurrences=1
garant?as | occurrences=1
gu?as | occurrences=1
id?neos | occurrences=1
il?cito | occurrences=1
il?citos | occurrences=2
implementaci?n | occurrences=1
Infiltraci?n | occurrences=1
inform?ticos | occurrences=1
ingenier?a | occurrences=1
inspecci?n | occurrences=1
integraci?n | occurrences=3
Intenci?n | occurrences=1
inter?s | occurrences=13
interacci?n | occurrences=1
interpretaci?n | occurrences=2
Interrupci?n | occurrences=2
interrupci?n | occurrences=1
Intervenci?n | occurrences=2
inversi?n | occurrences=1
investigaci?n | occurrences=2
jer?rquica | occurrences=1
jur?dicas | occurrences=2
leg?timo | occurrences=1
m?dica | occurrences=3
m?dicas | occurrences=1
m?dicos | occurrences=6
m?ltiples | occurrences=3
Manipulaci?n | occurrences=2
manipulaci?n | occurrences=3
materializaci?n | occurrences=2
medi?tica | occurrences=1
medi?ticos | occurrences=1
Metodolog?a | occurrences=1
modificaci?n | occurrences=2
n?mero | occurrences=1
n?mina | occurrences=3
obligaci?n | occurrences=1
Omisi?n | occurrences=2
omisi?n | occurrences=1
p?blica | occurrences=6
p?blicas | occurrences=2
p?blico | occurrences=1
p?blicos | occurrences=4
p?lizas | occurrences=1
P?rdida | occurrences=11
p?rdida | occurrences=3
Parametrizaci?n | occurrences=1
per?odos | occurrences=1
Percepci?n | occurrences=1
peri?dica | occurrences=4
peri?dicas | occurrences=2
peri?dico | occurrences=1
planificaci?n | occurrences=1
podr?a | occurrences=1
pol?tica | occurrences=2
Pol?ticamente | occurrences=2
Pol?ticas | occurrences=1
pol?ticas | occurrences=4
Pr?cticas | occurrences=1
pr?cticas | occurrences=6
pr?rrogas | occurrences=2
Presi?n | occurrences=11
presi?n | occurrences=1
prop?sito | occurrences=1
qu? | occurrences=1
r?pidamente | occurrences=1
realizaci?n | occurrences=1
recepci?n | occurrences=5
revisi?n | occurrences=3
rotaci?n | occurrences=1
s? | occurrences=1
sanci?n | occurrences=1
se?alamientos | occurrences=1
Secci?n | occurrences=1
secci?n | occurrences=3
segregaci?n | occurrences=13
selecci?n | occurrences=1
simulaci?n | occurrences=2
simult?neamente | occurrences=1
sobrevaloraci?n | occurrences=1
suplantaci?n | occurrences=2
sustracci?n | occurrences=1
t?cnicos | occurrences=3
tecnol?gicas | occurrences=4
tecnolog?a | occurrences=2
Tesorer?a | occurrences=1
tr?mites | occurrences=1
trav?s | occurrences=2
uni?n | occurrences=2
utilizaci?n | occurrences=2
Vinculaci?n | occurrences=1
violaci?n | occurrences=1
